decade,label,n_games,n_moves,mean_cross_harm,novelty_rate,adj_opp,adj_own,dens_delta,dist_last,is_corner_open
1600,1600-1699,235,8193,0.6527796372268235,0.888685463200293,0.13456609300622482,0.1190345416819236,-0.014170633467594288,0.18259167189056086,0.131941901623337
1700,1700-1799,352,12320,0.6257596959086934,0.9911525974025974,0.12357954545454546,0.11446834415584416,-0.011777597402597402,0.19044719590869336,0.11282467532467533
1800,1800-1849,1157,40432,0.6535679669378951,0.9705431341511674,0.13061436485951722,0.11948456667985753,-0.018015433320142462,0.1924629016430791,0.1256677878907796
1850,1850-1899,1793,62667,0.6484099830144733,0.8888410168031021,0.13103387747937512,0.11930521646161457,-0.01738395008537189,0.18856030136384375,0.12394083010196755
1900,1900s,237,8294,0.6713486257140261,0.9662406558958283,0.13536894140342418,0.1359416445623342,0.0025078369905956114,0.1814221728565388,0.13117916566192428
1910,1910s,150,5229,0.6726314857683834,0.9992350353796137,0.1271275578504494,0.14620386307133296,0.011933448078026392,0.18136164449854209,0.13138267355134825
1920,1920s,412,14402,0.6670805473473286,0.9368837661435911,0.1461255381197056,0.13482502430218024,-0.011248437716983754,0.1769507042699782,0.12019164004999305
1930,1930s,1425,49849,0.6537538706316429,0.8791951694116231,0.13839294669903107,0.11952596842464241,-0.02390619671407651,0.18293800672263769,0.1253786435033802
1940,1940s,644,22540,0.6713031047436908,0.8169476486246673,0.13481588287488908,0.1143189884649512,-0.023899733806566105,0.1958550124633004,0.1417036379769299
1950,1950s,1868,65371,0.6592852125176052,0.7416132535833933,0.13063514402410856,0.11464563797402517,-0.026556118156369032,0.19135218411051338,0.1383029171956984
1960,1960s,10847,379488,0.649304055553265,0.9358688548781516,0.1349509075385783,0.11657022092925204,-0.02814186482840037,0.18335480287597344,0.12871553250695675
1970,1970s,12156,425229,0.6487682199122328,0.9353995141441435,0.13682215935413625,0.11821277476371556,-0.028945109576251855,0.1800336086792265,0.12749365635927934
1980,1980s,9741,340181,0.6477219500976286,0.9304370320505848,0.1387474609105153,0.11888744521298955,-0.028406642346280365,0.17759957406839708,0.1254773194270109
1990,1990s,9644,336204,0.6555867683072237,0.926163876693912,0.13810513854683465,0.11940295177927687,-0.028202817337092956,0.1793528448559858,0.1301917883189968
2000,2000s,11094,387099,0.6704223215831007,0.9391395999473003,0.14323403057099088,0.12065130625498903,-0.029093591045184823,0.18036719356675338,0.13713804478957578
2010,2010s,18699,654326,0.6767997875774618,0.9640041814019311,0.14992641282785646,0.12143335279356161,-0.030781903821642424,0.1780863786650848,0.1379113775090704
2020,2020-2026,14547,509117,0.6903467376703253,0.9609539653949878,0.15074334583209753,0.12114455027037008,-0.03338761031354286,0.17935545275939124,0.1506019245085118
