phase,phase_label,phase_start,phase_end,region,n_moves,adj_opp,adj_own,dens_delta,dist_last,is_corner_open,contact_index,mobility_index,gap_to_center
pre,Pre-AI,1990,2015,JPN,948808,0.142061,0.119999,-0.028822,0.179382,0.132637,0.022061,0.15601,0.008776
pre,Pre-AI,1990,2015,KOR,95200,0.145394,0.119632,-0.029953,0.182466,0.142164,0.025762,0.162315,0.001958
pre,Pre-AI,1990,2015,CHN,17920,0.148396,0.118973,-0.029721,0.183366,0.146429,0.029422,0.164897,0.006995
shock,Shock,2016,2017,JPN,137700,0.151919,0.122832,-0.030956,0.177602,0.134052,0.029087,0.155827,0.004214
shock,Shock,2016,2017,KOR,17150,0.153819,0.121793,-0.030741,0.179712,0.135394,0.032026,0.157553,0.002241
shock,Shock,2016,2017,CHN,14315,0.15599,0.120922,-0.032197,0.179269,0.142717,0.035068,0.160993,0.00588
diffusion,Diffusion,2018,2021,JPN,263443,0.153767,0.123249,-0.03345,0.176569,0.150526,0.030518,0.163547,0.010011
diffusion,Diffusion,2018,2021,KOR,38964,0.158319,0.120226,-0.033818,0.179403,0.163613,0.038093,0.171508,0.005011
diffusion,Diffusion,2018,2021,CHN,5810,0.162091,0.117771,-0.035766,0.181719,0.16179,0.04432,0.171755,0.006432
oracle,Oracle,2022,2025,JPN,283736,0.149881,0.121185,-0.033039,0.179189,0.149505,0.028696,0.164347,0.003878
oracle,Oracle,2022,2025,KOR,31185,0.151435,0.119913,-0.035296,0.181455,0.152637,0.031522,0.167046,0.002791
oracle,Oracle,2022,2025,CHN,5635,0.146185,0.118412,-0.032955,0.182135,0.155457,0.027773,0.168796,0.004646
